ftime(hr)    y01   DS02   LG02   HWFI   AVNI   VMXC   DV12   SLAT   SSTN   SHDC   DTL 
  12        18.0    2.0    1.0   -1.0   -2.0   37.0    5.0   26.4   27.6   25.9  353.7
  12         7.0    1.0    2.0   -1.0   -2.0   48.0   10.0   27.9   26.6   29.9  212.3
  12        -6.0   -3.0    0.0    1.0    2.0   46.0   15.0   29.2   26.3   27.0   49.3
  12        -4.5   -7.5   -6.5    7.5    6.5   44.5    5.0   30.3   25.8   26.5  -13.0
  12         6.2   -1.8   -1.8    1.2    2.2   33.8  -10.0   31.5   25.8   28.3  -33.3
  12        -2.5   -0.5   -0.5    2.5   -1.5   27.5    5.0   16.9   29.0   14.5  -73.3
  12         3.8    1.8    1.8   -2.2   -1.2   26.2    0.0   16.9   29.1   14.7  -96.7
  12         4.5    0.5    0.5   -1.5    0.5   25.5   -5.0   17.1   29.2   15.2 -120.7
  12         4.2    0.2    0.2    0.2   -0.8   25.8   -5.0   17.7   29.5   17.2 -115.7
  12         0.8   -0.2   -0.2    2.8   -2.2   29.2    0.0   18.4   28.9   17.0  -21.3
  12         8.3   -0.7   -1.7    0.0    2.3   26.7    0.0   19.0   28.9   18.8   63.0
  12         8.2    0.2    0.2    2.2   -2.8   31.8    5.0   19.3   28.8   20.0   95.3
  12         8.0    0.0    1.0    1.0   -2.0   32.0    5.0   19.5   28.9   15.4  104.7
  12         2.2    1.2    1.2   -0.8   -1.8   37.8    5.0   19.6   28.6   13.5   58.0
  12         1.5   -1.5   -0.5   -1.5    3.5   38.5   10.0   19.6   28.0   12.5   21.3
  12        -3.2   -1.2   -1.2   -3.2    5.8   33.2    5.0   19.6   27.6   10.6  -19.3
  12         6.8    0.8   -1.2    0.8   -0.2   38.2    0.0   10.7   28.2    9.3  670.7
  12         4.8   -0.2   -0.2    2.8   -2.2   45.2    5.0   11.3   28.5   10.5  633.7
  12         3.8   -0.2   -1.2   -1.2    2.8   46.2    5.0   12.2   28.6   10.8  583.3
  12         4.2   -1.8   -1.8    1.2    2.2   50.8    5.0   12.8   28.6   14.8  484.3
  12         6.8   -1.2   -1.2    1.8    0.8   48.2    5.0   13.8   28.3   20.6  420.0
  12        -2.8   -1.8   -2.8    6.2   -1.8   47.8    0.0   14.8   28.4   19.8  367.7
  12       -15.8    3.2    4.2   -3.8   -3.8   55.8   10.0   15.7   28.4   20.4  294.3
  12        -8.2    1.8    0.8   -0.2   -2.2   48.2    0.0   15.9   28.3   23.1  237.7
  12        -0.2   -5.2   -5.2    7.8    2.8   45.2    5.0   14.5   25.7    4.4 1431.3
  12        -2.8    1.2    1.2    1.2   -3.8   52.8   10.0   14.9   25.6    4.4 1601.0
  12        -2.8    1.2    2.2   -1.8   -1.8   52.8    5.0   15.3   25.6    3.6 1787.7
  12         0.0    3.0    3.0   -7.0    1.0   50.0    5.0   15.8   25.5    1.9 1905.0
  12        -3.5    0.5    1.5   -2.5    0.5   48.5    0.0   16.1   25.6    3.7 1972.7
  12        -3.5    0.5    1.5   -1.5   -0.5   48.5    0.0   16.8   25.7    6.5 1971.3
  12        -5.0    0.0    0.0   -2.0    2.0   50.0    0.0   16.8   26.0   11.2 1840.7
  12        -2.8    0.2   -0.8   -2.8    3.2   42.8   -5.0   17.3   26.2   15.6 1754.7
  12        -8.0    2.0    1.0   -1.0   -2.0   43.0    0.0   17.9   26.4   15.6 1689.0
  12        -3.0    0.0   -1.0    2.0   -1.0   38.0   -5.0   17.9   26.7   15.2 1565.0
  12         3.5    0.5   -2.5    3.5   -1.5   31.5  -10.0   18.1   27.0   16.2 1453.7
  12         1.5    2.5    1.5    2.5   -6.5   33.5    5.0   14.6   27.1    5.2  887.7
  12        -2.2    3.8    2.8   -1.2   -5.2   37.2    5.0   14.7   27.1    5.9 1048.3
  12        -4.0    3.0    2.0   -2.0   -3.0   39.0    5.0   15.0   26.9    7.4 1160.3
  12        -2.8    0.2   -0.8    3.2   -2.8   37.8    0.0   15.7   26.4    4.6 1317.7
  12        -0.8    0.2    0.2    1.2   -1.8   35.8    0.0   16.6   25.8    5.0 1468.3
  12         6.0    0.0    1.0    1.0   -2.0   34.0    0.0   17.3   25.7    6.2 1657.0
  12        10.8   -2.2   -1.2    3.8   -0.2   29.2   -5.0   18.0   25.6   10.0 1786.3
  12        -0.8   -0.8    1.2    1.2   -1.8   35.8    5.0   18.8   25.5   14.1 1900.0
  12        -1.8   -1.8    0.2    2.2   -0.8   36.8    5.0   19.1   25.2   11.9 2005.7
  12         2.2   -0.8    0.2    3.2   -2.8   32.8    0.0   19.9   25.2   13.1 2009.3
  12        -7.8   -2.8   -1.8    1.2    3.2   37.8   15.0   19.4   28.6    6.3  -29.0
  12        -9.2    3.8    3.8   -3.2   -4.2   39.2   10.0   17.3   29.1    5.4   77.7
  12        11.8    1.8    0.8   -1.2   -1.2   38.2    5.0   31.0   28.2   20.1 1128.7
  12        -2.2    1.8    3.8   -3.2   -2.2   47.2   10.0   31.9   28.0   20.7 1096.3
  12       -10.0    1.0    2.0   -1.0   -2.0   50.0    5.0   32.5   28.0   23.4 1040.3
  12        -6.5    2.5    1.5   -2.5   -1.5   41.5   -5.0   32.8   27.9   19.8  981.3
  12        -8.0   -1.0   -3.0    3.0    1.0   38.0  -10.0   32.9   27.8   20.7  942.3
  12        -1.0    2.0   -1.0    0.0   -1.0   31.0  -10.0   32.9   27.8   21.0  895.0
  12         7.2    0.2   -2.8    1.2    1.2   27.8  -10.0   33.4   27.6   15.9  825.0
  12         5.0    0.0   -2.0    3.0   -1.0   30.0   -5.0   34.0   27.8   12.1  772.7
  12         3.2    0.2   -0.8    2.2   -1.8   31.8    0.0   34.6   27.7   13.8  748.3
  12        -9.0    0.0    0.0    1.0   -1.0   39.0    5.0   35.2   27.6   13.4  700.3
  12        -7.7    1.3   -1.7    0.0    0.3   37.7    0.0   36.4   27.4   12.9  601.7
  12         4.0    1.0   -1.0    4.0   -4.0   36.0    5.0   13.3   28.0   14.3  557.3
  12         1.5    1.5    1.5    1.5   -4.5   43.5   10.0   13.5   28.2   11.0  649.0
  12         1.5    3.5    2.5   -2.5   -3.5   48.5   10.0   13.7   28.3   10.1  769.7
  12         1.0    4.0    3.0   -7.0    0.0   54.0   10.0   13.9   28.3    9.6  900.3
  12        -3.5    1.5    1.5   -2.5   -0.5   58.5   10.0   14.1   28.3   10.0  966.7
  12        -9.5    1.5    1.5   -2.5   -0.5   64.5   10.0   14.6   28.2    7.2 1011.3
  12        -6.5    2.5    1.5   -4.5    0.5   61.5    5.0   14.8   28.2    7.4 1118.0
  12        -6.0    2.0    1.0   -1.0   -2.0   66.0    5.0   15.3   28.0    8.9 1167.0
  12         4.0    3.0    2.0    1.0   -6.0   66.0    5.0   15.9   27.6    6.3 1197.0
  12        15.8    2.8    0.8    0.8   -4.2   64.2    0.0   16.4   27.0    5.2 1234.7
  12         8.8    0.8    0.8    2.8   -4.2   71.2    5.0   17.2   26.7    4.3 1273.7
  12         0.2    1.2    1.2   -0.8   -1.8   79.8   15.0   18.4   26.1    8.5 1298.3
  12        -2.0    1.0    0.0   -2.0    1.0   77.0   10.0   19.5   25.4   10.4 1281.7
  12         2.8   -1.2   -1.2   -0.2    2.8   72.2    0.0   20.8   25.4   16.1 1265.0
  12         1.2    0.2   -0.8    0.2    0.2   68.8    0.0   22.3   25.1   20.0 1281.0
  12        -7.8   -0.8   -0.8   -1.8    3.2   67.8    0.0   23.3   25.0   21.9 1316.7
  12       -12.0   -2.0   -1.0    0.0    3.0   67.0    0.0   23.8   25.0   22.3 1371.3
  12       -10.8   -2.8   -1.8    1.2    3.2   55.8  -10.0   24.7   24.8   26.2 1434.3
  12        -8.5   -1.5   -1.5    5.5   -2.5   43.5    5.0   27.9   27.1   22.9 2256.7
  12        -1.0    0.0   -1.0    0.0    1.0   41.0    0.0   27.5   27.1   21.4 2296.0
  12         5.2    1.2   -1.8    0.2    0.2   34.8   -5.0   27.9   26.8   17.2 2263.3
  12        -1.0    2.0    1.0    1.0   -4.0   36.0    0.0   29.0   26.7   13.3 2166.3
  12       -11.8    3.2    3.2   -1.8   -4.8   41.8    5.0   30.4   26.9    9.9 2020.0
  12        -5.8    1.2   -0.8    0.2   -0.8   35.8   -5.0   31.2   27.0    8.3 1926.0
  12        -6.2   -0.2   -2.2    4.8   -2.2   36.2   -5.0   31.7   26.9    7.2 1860.0
  12        -7.2   -0.2   -1.2    3.8   -2.2   37.2    0.0   31.7   26.9    9.7 1856.3
  12        -6.5   -0.5   -0.5    3.5   -2.5   36.5    0.0   32.2   26.8   12.6 1806.0
  12         0.2    1.2   -2.8    4.2   -2.8   34.8    0.0   19.7   28.8   18.3  137.0
  12         6.8    1.8   -1.2    0.8   -1.2   33.2    0.0   19.8   28.7   17.6  138.7
  12        11.5    0.5    0.5    1.5   -2.5   38.5    5.0   19.8   28.7   19.5  129.7
  12         7.8    1.8    0.8    1.8   -4.2   47.2   10.0   19.7   28.5   18.9   82.3
  12         6.5    6.5    6.5   -3.5   -9.5   53.5   15.0   19.7   28.5   15.9   93.3
